번호,품목명,구분,질문,답변
144, 기타간편복, 청약철회_묶음배송 반품비_제품 불량,"전자상거래로 가디건과 후드집업 두 벌을 70,000원에 구입하였으며, 50,000원 이상 구매 시 무료배송이어서 사업자에게 묶음배송을 요청하였습니다. 이후 가디건이 불량인 것을 확인하여 반품을 요구했는데, 사업자는 반품비를 입금할 것을 주장합니다. 반품비를 제가 부담하는게 맞나요?","제품의 불량 등 사업자의 귀책사유로 반품하는 경우에는 사업자가 반품비 전액을 부담합니다.     「전자상거래 등에서의 소비자보호에 관한 법률」 제17조(청약철회등)에 따르면 소비자는 계약내용에 관한 서면을 교부받은 날(서면을 교부받은 때보다 재화 등의 공급이 늦게 이루어진 경우에는 재화 등의 공급을 받거나 공급이 개시된 날)부터 7일 이내에 당해 계약에 관한 청약을 철회할 수 있으며, 동법 제18조 제10항에는 표시 광고의 내용과 다르거나 계약내용과 다르게 이행된 경우 등의 사유로 청약철회를 요청한 경우 반환에 소요되는 비용(반품비)은 사업자가 부담해야 한다고 규정하고 있습니다.   따라서, 제품 하자 등 사업자의 귀책사유로 반품하는 경우에는 사업자가 반품 택배비 전액을 부담해야 한다고 판단됩니다."
145, 기타간편복, 청약철회_묶음배송 반품비_단순 변심,"전자상거래로 가디건과 후드집업 두 벌을 70,000원에 구입하였으며, 50,000원 이상 구매 시 무료배송이어서 사업자에게 묶음배송을 요청하였습니다. 이후 가디건 사이즈가 맞지 않아 반품을 요구했는데, 사업자는 반품비를 입금할 것을 주장합니다. 반품비를 제가 부담하는게 맞나요?","사이즈 오류 등 개인 변심으로 반품하는 경우에는 소비자가 반품비 전액을 부담합니다.   「전자상거래 등에서의 소비자보호에 관한 법률」 제17조(청약철회등)에 따르면 소비자는 계약내용에 관한 서면을 교부받은 날(서면을 교부받은 때보다 재화 등의 공급이 늦게 이루어진 경우에는 재화 등의 공급을 받거나 공급이 개시된 날)부터 7일 이내에 당해 계약에 관한 청약을 철회할 수 있으며, 동법 제18조 제9항에는 색상, 디자인 혹은 사이즈 불만 등의 사유로 청약철회를 요청한 경우 반환에 소요되는 비용(반품비)은 소비자가 부담해야 한다고 규정하고 있습니다.   따라서, 소비자의 개인 변심으로 반품하는 경우에는 반품 택배비는 소비자가 전액 부담해야 한다고 판단됩니다."
146, 기타간편복, 계약불이행_미환급,전자상거래로 가디건을 주문하고 대금을 신용카드로 결제하였습니다. 구입 후 7일 이내 청약철회를 요구하여 가디건을 반품하였는데 물품 대금을 환급해 주지 않고 있습니다. 환급받을 방법이 있나요?,신용카드사에 카드사가 사업자에게 대금을 지급하지 않도록 요구할 수 있습니다.   「전자상거래 등에서의 소비자보호에 관한 법률」 제18조에 따르면 청약철회 시 사업자가 신용카드로 결제한 대금의 환급을 지연할 경우 신용카드사에 환급에 필요한 조치를 요구할 수 있도록 규정하고 있습니다. 이 경우에 신용카드사는 환급에 필요한 조치를 취해야 하며 사업자에게 지급할 대금이 있을 경우 이를 주지 않고 소비자가 결제한 대금을 상계처리한 후 소비자의 결제대금의 매출을 취소해 주어야 합니다.   따라서 소비자는 신용카드사에 사업자와의 다른 채무와의 상계를 요구할 수 있습니다.
147, 기타간편복, 가격·요금_과도한 반품배송비 요구,"전자상거래로 수입의류를 구입하고 반품을 요구하였으나 사전에 고지된 반품 배송비 이외에 ‘현지 운송료, 제비용 등’의 명목으로 추가 대금 지급을 요구합니다. 추가로 지급해야 하나요?","사업자가 추가대금의 타당성을 입증하는 경우를 제외하면, 미리 고지한 반품 배송비 이외에 다른 명목의 위약금은 거부할 수 있습니다.   병행수입을 비롯한 수입제품 판매 시 발생하는 배송비는 사업자마다 수입절차 및 재고관리 방식에 따라 다를 수 있으나 「전자상거래 등에서의 소비자보호에 관한 법률」 제18조 제9항, 제10항에 따라 부과하는 반품비용은 소비자의 구매 여부 판단에 영향을 주는 중요한 거래조건에 해당되므로 적절한 방법으로 고지하여야 할 사항으로 볼 수 있습니다.    따라서, 사업자가 수입 과정에서 발생한 ‘현지 및 국제운송료 + 수입세금 및 제비용’에 관해 입증할 수 있는 경우 소비자는 그에 대한 금액을 지급해야하며, 입증할 수 없는 경우 제품을 반품한 뒤 반품과정에서 발생한 비용을 공제한 후 환급을 요구할 수 있습니다.   반면, 동법에 따라 사업자는 소비자에게 청약철회를 이유로 위약금이나 손해배상을 청구할 수 없으므로 미리 고지한 반품 배송비 이외에 다른 명목의 위약금을 추가 청구하는 것은 인정되기 어렵습니다."
148, 기타간편복, 가격·요금_적립금 환급,전자상거래로 후드집업을 구입하고 제품 수령 다음날 단순 변심으로 반품을 신청하였으나 사업자는 결제금액을 적립금으로만 돌려주겠다고 주장합니다. 신용카드 결제 취소를 요구할 수 있나요?,"사업자에게 신용카드 결제 취소를 요구할 수 있습니다.   「전자상거래 등에서의 소비자보호에 관한 법률」(이하, ‘전자상거래법’) 제17조(청약철회등)에 따르면 소비자는 상품을 공급 받은 날로부터 7일 이내에는 소비자의 귀책사유로 인한 상품의 멸실 또는 훼손된 경우 등을 제외하고는 단순변심으로 인한 청약철회를 할 수 있다고 규정하고 있습니다. 이에 소비자가 제품을 수령한 날로부터 7일 이내 청약철회 의사표시를 명확히 하였다면 해당 쇼핑몰은 ‘전자상거래법’ 제18조 제3항에 의거하여 신용카드사에게 대금 청구를 정지하거나 취소하도록 요청하여야 합니다.   따라서, 신용카드로 결제하였으나 적립금으로만 환급이 가능하다는 것은 「민법」 제548조(해제의 효과, 원상회복의무)에 따른 원상회복이라고 보기 어려우므로 소비자가 사용한 결제수단에 따른 환급 이행을 해당 쇼핑몰에 요구할 수 있다고 판단됩니다."
149, 기타간편복, 표시·광고_반품비1,"‘캐시미어 100%’라고 광고하는 가디건을 전자상거래로 구입하고, 10일 뒤에 착용하던 과정에서 실제로는 캐시미어는 10%만 포함된 사실을 알게 되었습니다. 이 경우에 반품비 부담자는 누구인가요?","사업자에게 청약철회를 요구할 수 있으며, 배송비를 포함한 반품비는 사업자가 부담하도록 요구할 수 있습니다.   「전자상거래 등에서의 소비자보호에 관한 법률」 제18조에 따르면 물품의 내용이 표시·광고 내용과 다른 경우에는 반환에 필요한 비용은 사업자가 부담함은 물론 소비자에게 물품을 배달할 때의 배송비도 사업자가 부담하여야 하며 이미 소비자가 지급한 경우에는 환급하도록 규정하고 있습니다. 이 경우에는 청약철회기간은 당해 물품을 공급받은 날부터 3월 이내, 그 사실을 안 날 또는 알 수 있었던 날부터 30일 이내로 연장 됩니다.   이러한 소비자의 권리가 인정되려면 물품 관련 표시·광고의 내용이 누가 보아도 명백하게 허위이거나 과장된 점이 인정되어야 하는데, 「표시·광고의 공정화에 관한 법률」 제3조 및 「부당한 표시·광고행위의 유형 및 기준 지정 고시」에 의하면 부된 원재료나 성분을 가지고 전체의 주된 성분인 것처럼 표시·광고한 행위를 부당한 표시·광고로 규정하고 있습니다.    따라서 성분 표시가 잘못된 것이 명확히 확인될 경우에는 물품의 내용이 표시·광고 내용과 다른 경우에 해당하여 청약철회가 가능하고, 반품비는 사업자가 부담하도록 요구할 수 있습니다."
150, 기타간편복, 표시·광고_반품비2,"전자상거래 사업자가 운영하고 있는 FAQ에서 ‘모든 상품은 무료 반품 가능’이라는 문구를 확인하고 후드티를 구입하였고, 이후 7일 이내 반품을 요구하였으나 사업자가 반품비를 요구합니다. 제가 비용을 지급해야 하나요?","FAQ 게시물도 광고에 해당되며, 표시·광고와 다르게 계약이 이행된 경우에는 사업자 귀책사유에 해당하므로 반품비는 사업자가 부담합니다.    대법원 판례에 따르면 “FAQ 게시물은 일반 소비자가 누구나 접근할 수 있는 사업자의 인터넷 홈페이지에 게시되어 있으며, 게시 경위도 소비자들이 사업자에게 한 질문에 대해 개별적으로 답변한 것이 아니라 사업자가 일반 소비자들에게 알리고 싶은 내용을 선정하여 질문과 답변의 형식으로 게시해 놓은 것이라는 점에 비추어 보면, 사업자가 ‘널리 소비자들에게 제시하거나 알리기 위하여’ 게시해 놓은 것이라고 볼 수 있으므로 해당 FAQ 게시물은 「표시·광고의 공정화에 관한 법률」 상의 광고에 해당합니다(대법원 2009.5.28., 선고, 2009두843, 판결).   또한, 「표시·광고의 공정화에 관한 법률」 제3조(부당한 표시·광고 행위의 금지) 및 ‘부당한 표시·광고행위의 유형 및 기준 지정 고시‘에 따르면 반품, 교환, 대금지급방법 등 기타 거래내용 및 거래조건 등에 관하여 표시·광고함에 있어서는 사실대로 하여야 하며, 이를 사실과 다르게 표시·광고한 행위를 부당한 표시·광고로 규정하고 있습니다.    따라서, 이 사례에서는 사실과 다르게 반품비를 요구하는 것이 명확히 확인되므로 물품의 내용이 표시·광고 내용과 다른 경우에 해당하며, 「전자상거래 등에서의 소비자보호에 관한 법률」 제18조(청약철회등의 효과)에 따라 사업자에게 반품비 부담을 요구할 수 있다고 판단됩니다."
151, 기타간편복, 표시·광고_광고와 차이 있는 제품,전자상거래로 후드집업을 구입하고 10일 뒤 착용하던 과정에서 광고 사진과 너무 다르다는 사실을 알게되었습니다. 청약철회가 가능한가요?,"상품이 광고 사진과 다르다는 소비자의 주관적인 판단만으로는 계약내용과 다르게 이행되었다고 보기 어려우므로 7일이 경과한 후에는 청약철회를 요구하기 어렵습니다.   「전자상거래 등에서의 소비자보호에 관한 법률」 제17조(청약철회등)에 따르면 소비자는 전자상거래로 구입한 제품에 대하여 공급받은 날로부터 7일 이내(표시·광고의 내용과 다르거나 계약내용과 다르게 이행된 경우에는 공급받은 날부터 3개월, 사실을 안 날 또는 알 수 있었던 날부터 30일 이내)에 청약철회를 요청할 수 있으나, 소비자에게 책임이 있는 사유로 재화 등이 멸실되거나 훼손된 경우에는 청약철회를 요구할 수 없습니다.   다만, 광고 사진과 다르다는 소비자의 주관적인 판단만으로는 「표시·광고의 공정화에 관한 법률」 상 부당한 표시·광고임을 주장하기 어려우며, 광고 사진과 실제 받은 제품이 완전 다른 경우와 같이 중대한 하자가 있다면 청약철회를 요구할 수 있다고 판단됩니다."
152, 기타간편복, 품질_보풀,"가디건을 구입하고 1회 착용하였는데, 겨드랑이 부분에 보풀이 심하게 발생하였습니다. 구제 방법이 있나요?","어느 정도의 보풀은 의류를 착용할 때 자연스럽게 발생할 수 있는 현상으로 품질불량으로 보지 않습니다. 그러나 보풀이 심할 경우 외관을 해칠 뿐만 아니라 섬유의 질감을 변화시키기 때문에 품질불량으로 판단할 수 있습니다.   우선적으로 제조사나 구입처 등에 문제점을 제기하고, 하자의 원인 및 책임 소재에 대하여 분쟁이 발생한 경우에는 전문가(심의기구 등)에게 의뢰하여 의견을 구하는 것이 좋으며 품질 시험검사가 가능한 경우에는 이를 통해 보다 정확한 원인규명을 해볼 수 있습니다.    해당 제품이 원단불량 등 제품하자로 판명날 경우 공정거래위원회가 고시한 의복류 관련 ‘소비자분쟁해결기준’에 따라 제조사나 구입처에 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있으며, 수선이 가능한 경우임에도 불구하고 소비자가 구입가의 환급을 요구하는 경우에 사업자는 이를 거부할 수 있습니다.   ※ 한국소비자원에서는 섬유·세탁 품질하자 유무 및 원인 규명을 위하여 해당 분야 전문가로 구성된 ‘섬유제품심의위원회’를 운영하고 있으며, 해당 심의·자문 결과(책임소재, 심의내용 등)를 토대로 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에 따라 피해보상에 관한 합의를 권고할 수 있습니다. 다만, 심의·자문 결과는 당사자간 분쟁해결에 있어 근거자료로 활용되나 법적 강제력은 없습니다."
153, 기타간편복, 품질_올 당겨짐,가디건을 구입하고 착용하다 보니 장식으로 들어간 실에서 쉽게 올이 나옵니다. 구제 방법이 있나요?,"날카롭거나 뾰쪽한 물체에 걸려 올이 당겨지거나 끊어진 경우에는 착용자의 과실로 판단하여 품질불량으로 보지 않습니다. 그러나 자연스럽게 발생할 수 있는 일상적인 마찰에도 올이 쉽게 당겨지거나 끊어질 경우 품질불량으로 판단할 수 있습니다.   우선적으로 제조사나 구입처 등에 문제점을 제기하고, 하자의 원인 및 책임 소재에 대하여 분쟁이 발생한 경우에는 전문가(심의기구 등)에게 의뢰하여 의견을 구하는 것이 좋으며 품질 시험검사가 가능한 경우에는 이를 통해 보다 정확한 원인규명을 해볼 수 있습니다.   해당 제품이 원단불량 등 제품하자로 판명날 경우 공정거래위원회가 고시한 의복류 관련 ‘소비자분쟁해결기준’에 따라 제조사나 구입처에 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있으며, 수선이 가능한 경우임에도 불구하고 소비자가 구입가의 환급을 요구하는 경우에 사업자는 이를 거부할 수 있습니다.   ※ 한국소비자원에서는 섬유·세탁 품질하자 유무 및 원인 규명을 위하여 해당 분야 전문가로 구성된 ‘섬유제품심의위원회’를 운영하고 있으며, 해당 심의·자문 결과(책임소재, 심의내용 등)를 토대로 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에 따라 피해보상에 관한 합의를 권고할 수 있습니다. 다만, 심의·자문 결과는 당사자간 분쟁해결에 있어 근거자료로 활용되나 법적 강제력은 없습니다."
154, 기타간편복, 품질_실 미어짐,기다건을 구입하여 처음 착용하였는데 오른쪽 소매 윗부분 봉제가 뜯어지고 미어졌습니다. 구제 방법이 있나요?,"제품의 봉제 부위에 외력(힘)을 가했을 때 원단이 미끄러지면서 밀리는 것을 실 미어짐이라고 합니다. 미어지는 정도에 따라 품질불량 여부를 판단하며, 주로 미끄러운 성질의 원단에 이와 같은 현상이 나타날 수 있습니다.   우선적으로 제조사나 구입처 등에 문제점을 제기하고, 하자의 원인 및 책임 소재에 대하여 분쟁이 발생한 경우에는 전문가(심의기구 등)에게 의뢰하여 의견을 구하는 것이 좋으며 품질 시험검사가 가능한 경우에는 이를 통해 보다 정확한 원인규명을 해볼 수 있습니다.   해당 제품이 원단불량 등 제품하자로 판명날 경우 공정거래위원회가 고시한 의복류 관련 ‘소비자분쟁해결기준’에 따라 제조사나 구입처에 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있으며, 수선이 가능한 경우임에도 불구하고 소비자가 구입가의 환급을 요구하는 경우에 사업자는 이를 거부할 수 있습니다.   ※ 한국소비자원에서는 섬유·세탁 품질하자 유무 및 원인 규명을 위하여 해당 분야 전문가로 구성된 ‘섬유제품심의위원회’를 운영하고 있으며, 해당 심의·자문 결과(책임소재, 심의내용 등)를 토대로 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에 따라 피해보상에 관한 합의를 권고할 수 있습니다. 다만, 심의·자문 결과는 당사자간 분쟁해결에 있어 근거자료로 활용되나 법적 강제력은 없습니다."
155, 기타간편복, 품질_털빠짐1,다운 조끼를 구입 후 1회 착용하였는데 봉제 및 칼라 주위에서 충전재(털)가 심하게 빠져나옵니다. 구제 방법이 있나요?,"다운 제품 사용 중에 오리털, 거위털 등이 봉제구멍 또는 섬유사이로 빠져나와 날리거나 함께 착용한 의류에 묻어나는 경우가 있는데, 그 정도가 심할 경우 품질불량으로 판단할 수 있습니다.   우선적으로 제조사나 구입처 등에 문제점을 제기하고, 하자의 원인 및 책임 소재에 대하여 분쟁이 발생한 경우에는 전문가(심의기구 등)에게 의뢰하여 의견을 구하는 것이 좋으며 품질 시험검사가 가능한 경우에는 이를 통해 보다 정확한 원인규명을 해볼 수 있습니다.    해당 제품이 원단불량 등 제품하자로 판명날 경우 공정거래위원회가 고시한 의복류 관련 ‘소비자분쟁해결기준’에 따라 제조사나 구입처에 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있으며, 수선이 가능한 경우임에도 불구하고 소비자가 구입가의 환급을 요구하는 경우에 사업자는 이를 거부할 수 있습니다.   ※ 한국소비자원에서는 섬유·세탁 품질하자 유무 및 원인 규명을 위하여 해당 분야 전문가로 구성된 ‘섬유제품심의위원회’를 운영하고 있으며, 해당 심의·자문 결과(책임소재, 심의내용 등)를 토대로 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에 따라 피해보상에 관한 합의를 권고할 수 있습니다. 다만, 심의·자문 결과는 당사자간 분쟁해결에 있어 근거자료로 활용되나 법적 강제력은 없습니다."
156, 기타간편복, 품질_털빠짐2,털 조끼를 구입하여 1개월 정도 착용하였는데 전체적으로 털이 많이 빠져 함께 착용한 의류에 심하게 묻어납니다. 구제 방법이 있나요?,"털 소재 섬유제품의 특성상 어느 정도 털이 빠지는 것은 자연스럽게 발생할 수 있는 현상이며, 소재 특성에 따라 다른 제품보다 상대적으로 잘 빠지는 소재도 있지만(예: 토끼털, 알파카 등), 그 정도가 심할 경우 품질불량으로 판단할 수 있습니다.   우선적으로 제조사나 구입처 등에 문제점을 제기하고, 하자의 원인 및 책임 소재에 대하여 분쟁이 발생한 경우에는 전문가(심의기구 등)에게 의뢰하여 의견을 구하는 것이 좋으며 품질 시험검사가 가능한 경우에는 이를 통해 보다 정확한 원인규명을 해볼 수 있습니다.    해당 제품이 원단불량 등 제품하자로 판명날 경우 공정거래위원회가 고시한 의복류 관련 ‘소비자분쟁해결기준’에 따라 제조사나 구입처에 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있으며, 수선이 가능한 경우임에도 불구하고 소비자가 구입가의 환급을 요구하는 경우에 사업자는 이를 거부할 수 있습니다.   ※ 한국소비자원에서는 섬유·세탁 품질하자 유무 및 원인 규명을 위하여 해당 분야 전문가로 구성된 ‘섬유제품심의위원회’를 운영하고 있으며, 해당 심의·자문 결과(책임소재, 심의내용 등)를 토대로 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에 따라 피해보상에 관한 합의를 권고할 수 있습니다. 다만, 심의·자문 결과는 당사자간 분쟁해결에 있어 근거자료로 활용되나 법적 강제력은 없습니다."
157, 기타간편복, 품질_원형회복,가디건을 구입하여 약 4개월 착용하였는데 팔 부분에 심한 구김이 발생하여 드라이클리닝을 하였지만 개선되지 않습니다. 구제 방법이 있나요?,"원단이 압력 또는 힘에 의하여 늘어났다가 다시 원상으로 회복되지 아니하여 원래의 크기보다 커지거나 원단에 구김이 발생할 수 있지만, 그 정도가 심할 경우 품질불량으로 판단할 수 있습니다.   우선적으로 제조사나 구입처 등에 문제점을 제기하고, 하자의 원인 및 책임 소재에 대하여 분쟁이 발생한 경우에는 전문가(심의기구 등)에게 의뢰하여 의견을 구하는 것이 좋으며 품질 시험검사가 가능한 경우에는 이를 통해 보다 정확한 원인규명을 해볼 수 있습니다.    해당 제품이 원단불량 등 제품하자로 판명날 경우 공정거래위원회가 고시한 의복류 관련 ‘소비자분쟁해결기준’에 따라 제조사나 구입처에 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있으며, 수선이 가능한 경우임에도 불구하고 소비자가 구입가의 환급을 요구하는 경우에 사업자는 이를 거부할 수 있습니다.   ※ 한국소비자원에서는 섬유·세탁 품질하자 유무 및 원인 규명을 위하여 해당 분야 전문가로 구성된 ‘섬유제품심의위원회’를 운영하고 있으며, 해당 심의·자문 결과(책임소재, 심의내용 등)를 토대로 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에 따라 피해보상에 관한 합의를 권고할 수 있습니다. 다만, 심의·자문 결과는 당사자간 분쟁해결에 있어 근거자료로 활용되나 법적 강제력은 없습니다."
158, 기타간편복, 품질_변색,가디건을 구입하여 2회 착용하였는데 소매와 등 부분 등에서 변색이 발생하였습니다. 구제 방법이 있나요?,"햇빛에 직접 노출되는 부위(어깨 및 소매윗부분 등)나 땀이 발생하는 부위(등, 겨드랑이 등)에 변색이 발생할 수 있습니다. 바로 세탁하지 않고 방치하였을 때 발생한 변색에 대해서는 소비자과실로 판단하나, 햇빛, 땀 등에 변색되지 않고 견디는 정도가 심하게 낮으면 품질불량으로 판단할 수 있습니다.   우선적으로 제조사나 구입처 등에 문제점을 제기하고, 하자의 원인 및 책임 소재에 대하여 분쟁이 발생한 경우에는 전문가(심의기구 등)에게 의뢰하여 의견을 구하는 것이 좋으며 품질 시험검사가 가능한 경우에는 이를 통해 보다 정확한 원인규명을 해볼 수 있습니다.    해당 제품이 원단불량 등 제품하자로 판명날 경우 공정거래위원회가 고시한 의복류 관련 ‘소비자분쟁해결기준’에 따라 제조사나 구입처에 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있으며, 수선이 가능한 경우임에도 불구하고 소비자가 구입가의 환급을 요구하는 경우에 사업자는 이를 거부할 수 있습니다.   ※ 한국소비자원에서는 섬유·세탁 품질하자 유무 및 원인 규명을 위하여 해당 분야 전문가로 구성된 ‘섬유제품심의위원회’를 운영하고 있으며, 해당 심의·자문 결과(책임소재, 심의내용 등)를 토대로 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에 따라 피해보상에 관한 합의를 권고할 수 있습니다. 다만, 심의·자문 결과는 당사자간 분쟁해결에 있어 근거자료로 활용되나 법적 강제력은 없습니다."
159, 기타간편복, 품질_물듦,빨간색 가디건을 구입하여 약 2개월 착용하였는데 함께 착용한 티셔츠가 빨갛게 물들었습니다. 구제 방법이 있나요?,"원단불량 등 제품 하자로 판명되면, 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있습니다.   염색된 섬유제품이 마찰로 인해 염료가 탈락하는 경우가 발생할 수 있습니다. 약간의 염색 탈락은 허용가능하나, 그 정도가 심할 경우 품질불량으로 판단할 수 있습니다.   우선적으로 제조사나 구입처 등에 문제점을 제기하고, 하자의 원인 및 책임 소재에 대하여 분쟁이 발생한 경우에는 전문가(심의기구 등)에게 의뢰하여 의견을 구하는 것이 좋으며 품질 시험검사가 가능한 경우에는 이를 통해 보다 정확한 원인규명을 해볼 수 있습니다.    따라서, 해당 제품이 원단불량 등 제품하자로 판명된 경우 가방류 관련 「소비자분쟁해결기준」에 따라 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있으며, 수선이 가능한 경우임에도 불구하고 소비자가 구입가의 환급을 요구하는 경우에 사업자는 이를 거부할 수 있습니다.   ※ 한국소비자원에서는 섬유·세탁 품질하자 유무 및 원인 규명을 위하여 해당 분야 전문가로 구성된 ‘섬유제품심의위원회’를 운영하고 있으며, 해당 심의·자문 결과(책임소재, 심의내용 등)를 토대로 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에 따라 피해보상에 관한 합의를 권고할 수 있습니다. 다만, 심의·자문 결과는 당사자간 분쟁해결에 있어 근거자료로 활용되나 법적 강제력은 없습니다."
160, 기타간편복, 품질_자연적현상,구입한 지 5년 된 가디건을 보관하다가 입으려고 보니 버블 현상이 심합니다. 구제 방법이 있나요?,"가디건의 내용연수가 경과한 경우에는 제품하자로 보기 어렵습니다.   섬유제품의 소재특성으로 인하여 자연스럽게 발생하는 현상이나 내용연수(제품의 수명) 경과로 인해 발생한 제품의 하자는 과실로 보기 어려우므로 피해구제 처리대상이 아닙니다. 여기서 내용연수는 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에서 정하는 품목별 내용연수를 따르며 착용횟수와는 관계가 없습니다.   소재특성으로 인한 자연스러운 현상의 대표적인 사례로 알파카의 털빠짐, 토끼털의 모근 약함, 면소재와 청바지의 물빠짐, 한복의 흰줄 발생, 신발 밑창 닳음 등이 있으며, 정도가 심한 경우 책임소재를 따질 수 있으나 해당 현상을 품질불량으로 보기 어려운 경우가 많습니다. 또한, 내용연수가 경과한 제품은 제품의 수명이 다하여 발생한 자연손상으로 보아 하자를 주장하기 어려울 수 있습니다.   따라서, 이 경우 가디건의 내용연수가 경과하면서 원단의 자연 취화 및 노화로 자연스럽게 발생할 수 있는 것으로 보아 제품하자로 볼 수 없다고 판단됩니다."
161, 기타간편복, 품질_마찰,후드집업을 구입하여 착용하다가 1회 세탁하였는데 부분적으로 희뿌옇게 변색되었습니다. 구제 방법이 있나요?,"일반적으로 마찰이 잦은 부위에서는 약간의 탈색이 발생할 수 있습니다. 하지만 그 정도가 심할 경우 품질불량으로 판단할 수 있습니다.   우선적으로 제조사나 구입처 등에 문제점을 제기하고, 하자의 원인 및 책임 소재에 대하여 분쟁이 발생한 경우에는 전문가(심의기구 등)에게 의뢰하여 의견을 구하는 것이 좋으며 품질 시험검사가 가능한 경우에는 이를 통해 보다 정확한 원인규명을 해볼 수 있습니다.    해당 제품이 원단불량 등 제품하자로 판명날 경우 공정거래위원회가 고시한 의복류 관련 ‘소비자분쟁해결기준’에 따라 제조사나 구입처에 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있으며, 수선이 가능한 경우임에도 불구하고 소비자가 구입가의 환급을 요구하는 경우에 사업자는 이를 거부할 수 있습니다.   ※ 한국소비자원에서는 섬유·세탁 품질하자 유무 및 원인 규명을 위하여 해당 분야 전문가로 구성된 ‘섬유제품심의위원회’를 운영하고 있으며, 해당 심의·자문 결과(책임소재, 심의내용 등)를 토대로 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에 따라 피해보상에 관한 합의를 권고할 수 있습니다. 다만, 심의·자문 결과는 당사자간 분쟁해결에 있어 근거자료로 활용되나 법적 강제력은 없습니다."
162, 기타간편복, 품질_이염,1년 전 구입한 가디건을 세탁소에서 첫 세탁하였는데 흰색 배색 원단이 검게 이염되었습니다. 구제 방법이 있나요?,"세탁(물세탁 또는 드라이클리닝)에 의해 발생하는 제품 자체의 변색 및 이염, 타제품 오염 정도를 확인하고, 섬유제품 품질 권장기준에 따라 허용수준인지, 품질불량인지 판단이 필요합니다.   우선적으로 제조사나 구입처, 세탁소 등에 문제점을 제기하고, 하자의 원인 및 책임 소재에 대하여 분쟁이 발생한 경우에는 전문가(심의기구 등)에게 의뢰하여 의견을 구하는 것이 좋으며 품질 시험검사가 가능한 경우에는 이를 통해 보다 정확한 원인규명을 해볼 수 있습니다.    해당 제품이 원단불량 등 제품하자로 판명날 경우 공정거래위원회가 고시한 의복류 관련 ‘소비자분쟁해결기준’에 따라 제조사나 구입처에 수선이 가능한 경우에는 무상수선, 수선이 불가한 경우에는 동종 제품으로의 교환, 동종 제품이 없는 경우에는 환급을 요구할 수 있으며, 수선이 가능한 경우임에도 불구하고 소비자가 구입가의 환급을 요구하는 경우에 사업자는 이를 거부할 수 있습니다. 반면, 세탁 과정에서 발생한 하자로 판명날 경우 세탁사업자에게 원상회복, 불가능할 시 손해배상을 요구할 수 있습니다.   ※ 한국소비자원에서는 섬유·세탁 품질하자 유무 및 원인 규명을 위하여 해당 분야 전문가로 구성된 ‘섬유제품심의위원회’를 운영하고 있으며, 해당 심의·자문 결과(책임소재, 심의내용 등)를 토대로 공정거래위원회가 고시한 ‘소비자분쟁해결기준’에 따라 피해보상에 관한 합의를 권고할 수 있습니다. 다만, 심의·자문 결과는 당사자간 분쟁해결에 있어 근거자료로 활용되나 법적 강제력은 없습니다."
